frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,back_angle,neck_angle,symmetry_diff,stance_width,phase,exc_type,form,accuracy,correction_needed
1,171.5172280010108,174.50160623162293,51.1724776396749,48.615537092433726,179.06345304632768,179.86516003752374,174.42335476147025,170.57689640366436,103.31150339538374,106.15262418004825,58.283843436122766,86.23898834518647,2.6061209823039504,0.026867444845652937,start,pushup,good,99,None
2,171.8919229903932,174.33732055982665,50.06971316995789,47.78336937277905,178.7488351016413,179.08541967717704,174.83765999695152,170.42023454346028,102.95621205452798,106.23127104039771,57.33138571049302,81.54740069333799,2.5521620763018005,0.02662206465207297,start,pushup,good,96,None
3,167.16717285557036,168.3097558542934,47.862959546566145,43.06128640870265,177.81853175161058,177.2453299820151,176.1016813200428,170.62830040036513,102.39403852311163,106.79751312967181,57.70548970992138,64.24911078543175,3.2788626864839685,0.028651091778969056,start,pushup,good,99,None
4,141.4600784121613,143.6928630248524,32.39769851148802,27.397023152980896,173.75066114594023,169.45192119176454,174.5827659609287,172.86523873994702,93.99558456992558,99.50755231379995,63.08882561312235,41.0586152016753,3.7523389780459886,0.03451444373608024,start,pushup,good,98,None
5,92.24920376995107,95.01189048997027,8.763564487385437,10.1153807269305,166.85842099290574,165.7668986204038,175.88780171230573,177.21093419116045,83.91798860326234,92.87130296359122,70.24026057494677,46.74950264136904,3.09649443424996,0.04177682222692684,mid,pushup,good,99,None
6,68.47380348832554,67.73711139218676,25.223095612291964,32.121490673593335,169.4464726821087,165.6683880076106,172.19562660524142,176.23082524265388,81.1220695641457,89.61752855606746,74.81774113059204,64.65241706670083,4.788765892254494,0.043108889614897096,mid,pushup,good,93,None
7,88.15853937076773,86.95058766216357,4.47315614066142,8.91999530494151,177.0020528973805,174.47862803758184,170.45851738236763,171.90552929453636,87.6781874196949,93.52790884123458,76.60131210471276,58.08196280856127,3.094989813278266,0.03897262549831618,mid,pushup,good,98,None
8,92.83332797355564,109.01438355964719,11.615275873452992,10.627513489955236,161.34316111869174,177.00774533704413,168.2281801756886,165.95023416603556,94.58685014905737,96.72246811061778,82.34400018674609,68.32081163844612,7.44939323183103,0.04510211903134567,mid,pushup,good,96,None
9,155.17815132287654,151.95252655744486,47.969338629060196,38.95806830095413,169.653078468199,174.1879682110144,169.74835942665706,163.8637520480348,106.03665653584918,106.9519364095282,66.75111860508022,68.06860020971507,4.714334417730891,0.030322393210126326,end,pushup,good,99,None
10,169.96125311133505,169.09150680591816,54.94706940789987,49.41567723118584,170.07989375490456,171.69579751651386,171.37947864243168,164.00382763343015,107.6994423945272,108.16082226906252,62.91605075457101,81.10284959274946,3.1708146254554164,0.026222629760944846,end,pushup,good,93,None
11,173.9156843281599,172.44279274812416,52.90056783731314,47.77471689288821,176.52734107038393,177.89317680369476,172.6185551546306,166.81157762596052,106.0586011311879,107.95877103015188,58.788481484530735,66.6488439234044,3.134345137081111,0.027296067470233523,end,pushup,good,91,None
12,173.19965266297396,173.67787828921388,52.60891614073466,48.265598770418016,175.8311607145639,177.561448296449,171.48534748592672,166.30471076550154,105.03886382997585,107.46132111147233,59.22763869450081,69.58020080343509,2.83098491607266,0.02896294585349457,end,pushup,good,96,None
1,179.35375964487747,178.06766153851527,62.726361557205834,58.84743181570872,169.54478819248646,169.60039723788128,176.40956180692214,170.15757861820765,108.39107864869922,110.88241513400015,63.50723477471101,68.70625804704748,2.7927913134539124,0.027341393508364304,start,pushup,good,93,None
2,178.66627121073108,176.36501405804,65.34483519100453,60.97697737982378,166.98114493151246,167.82969710239178,177.4854714319501,171.644563596028,105.63570939824834,108.10874761336684,65.5202358267943,71.58579619966352,3.1663226371583475,0.027662055729307314,start,pushup,good,94,None
3,178.7770745426673,176.7468514125336,66.21104069385309,60.980709544839755,167.2980484069382,168.76740401365515,179.95818018858841,174.23120398954077,107.83663207413605,109.74039899580947,66.37242694535372,72.0267846273816,3.2721306013170106,0.026690956753533446,start,pushup,good,97,None
4,173.28221334254954,173.58810557604195,59.9124993765604,54.24217620101993,170.25321551699255,171.13340560275876,179.60218860328303,174.18980265579515,110.16976607016116,108.9925488504376,65.33267626783814,67.72502193575538,2.689201732402104,0.027005742673847716,start,pushup,good,96,None
5,154.07805249769294,150.587519239403,49.1097530818194,39.927471883913825,174.42919313092918,177.75980326877985,179.09191543110643,174.68659071360608,104.83901808767585,104.79214700732926,68.5032908365,46.7972561726696,4.0911240783786225,0.03040123402540318,mid,pushup,good,91,None
6,112.33831699300924,114.16115370129246,20.108338838396165,12.71632172492735,174.53174016993867,177.87242229061164,175.45048570691705,174.92420286504367,91.48528345043678,96.29080108798398,78.73308457527273,53.745513292771584,3.5774672843691158,0.043762714631271016,mid,pushup,good,100,None
7,67.29657633951282,68.01969100188029,18.2102006343571,24.77478516205213,179.0360121521583,176.9491711675245,175.82227572069527,175.6432156105568,85.16324398134984,90.4793031945717,84.2335062225295,49.30499211382596,2.9739318996113235,0.04551582274549034,mid,pushup,good,90,None
8,116.15497017740914,113.81980884575665,20.557197504332127,12.493863119908632,173.4122905091202,178.19545170648894,164.2678125722802,165.39275533283285,88.51275797682095,94.32093176896353,75.84675911369393,49.801916100201296,4.4229546932279895,0.04041238648807329,mid,pushup,good,92,None
9,151.73508091483902,151.16566192522376,49.55254811920174,41.66722994547743,162.6366006207026,168.41251198439602,165.2601504164937,161.83002101475952,102.09934466324952,104.46790748333171,70.7057379781676,69.77906918079739,4.005868149769869,0.03283413701219259,end,pushup,good,91,None
